User Model: <class 'accounts.models.User'>
USERNAME_FIELD: email
Total users: 46
--------------------------------------------------
Email: tjmanyadza@gmail.com | Display Name: Tocky  Manyadzaa | Active: True | Staff: True | ID: 73f4743f-4874-4f45-b757-782b0bba9c82
Email: manyadza41@gmail.com | Display Name: Tocky Manyadza | Active: True | Staff: False | ID: 1fca41f4-c38c-4922-8740-b2bd2ebf443a
Email: manyadzatocky@gmail.com | Display Name: Manyadza | Active: True | Staff: False | ID: 978fe920-b3e8-4293-985f-420bcd3abdab
Email: blessing@gmail.com | Display Name: Lew Bergnaum | Active: True | Staff: False | ID: 21564a64-0db8-4576-acb6-c5a68bdb5e5f
Email: your.email+fakedata11178@gmail.com | Display Name:  | Active: True | Staff: False | ID: 3dd2c9c8-e87e-4969-a587-d38581127f47
Email: your.email+fakedata14888@gmail.com | Display Name:  | Active: True | Staff: False | ID: 7a079acb-f102-4805-b83e-5160d97b0bb9
Email: testuser700@gmail.com | Display Name: Angela marrie | Active: True | Staff: False | ID: a6c253c2-6252-463a-b353-a4f641423465
Email: testuser1600@gmail.com | Display Name: Silas O'Connell | Active: True | Staff: False | ID: ea4115cc-b017-4d50-ba3a-ca5a5a46d142
Email: testuser1900@gmail.com | Display Name:  | Active: True | Staff: False | ID: 1127f4e8-1626-4985-ae5d-feb902c66d9e
Email: user@gmail.com | Display Name:  | Active: True | Staff: False | ID: 042e128a-58db-4f48-9ed7-efa782b52512
Email: user100@gmail.com | Display Name:  | Active: True | Staff: False | ID: 63ef988d-0a0d-4497-b3cb-a35718715bf2
Email: testuser_4149@example.com | Display Name:  | Active: True | Staff: False | ID: 6b446b58-2927-4ee0-99d5-6f11090e3893
Email: noprofile@example.com | Display Name:  | Active: True | Staff: False | ID: 3a54d3a1-2886-4b81-a959-7c4a792633d9
Email: user1234@gmail.com | Display Name:  | Active: True | Staff: False | ID: 25bb0da9-9e5d-4f8f-91b1-38c072aa3355
